ID,Area,User story,Expected behavior (from code),Status,Evidence,Notes
ON-1,Onboarding,As a new user I see a welcome and can start setup,Fresh install shows OnboardingWizard (profile.onboardedAt nil gates AppRootView),Pass,ON-1-light.png ON-1-dark.png,Wordmark + disclaimer + continue CTA; dark parity clean
ON-2,Onboarding,I can pick my goals,Goals step writes selectedGoalKinds; PillToggle grid,Pass,ON-2-light.png,Continue disabled until a goal picked (canContinue)
ON-3,Onboarding,I can pick starting peptides,OnboardingPeptidesStep lists catalog; picks seed the draft plan; compound detail pushable,Pass,ON-3-light.png,Searchable grouped catalog + Rx badges + add knobs
ON-4,Onboarding,I can connect Apple Health for profile fill,HealthConnectView requests read auth; profileVitals fills profile; skip path continues,Needs device,ON-4-light.png,Card + skip + About You form verified on sim; auth needs device
ON-5,Onboarding,I get a starter plan even without an API key,No key -> rule-based StarterSuggester; stub plan with VITA_CLAUDE_STUB; catalog-validated,Pass,ON-5-light.png,Stub produced validated 3-item clamped plan; StarterSuggesterTests
ON-6,Onboarding,I can scan labs during onboarding or skip,Labs step embeds LabScanFlow; skip continues wizard,Pass,ON-6-light.png,Camera itself Needs device
ON-7,Onboarding,I can enable notifications at the end,Notifications step requests auth; NotificationManager.rebuild on finish; onboardedAt set,Pass,ON-7-light.png,
TB-1,Tab bar,The floating bar is a compact icon-only Liquid Glass pill,GlassEffectContainer + glassEffect(.regular in capsule); four 48x44 icon slots; ~204pt constant width; VoiceOver carries tab names,Pass,2026-07-13-m45/dark-today.png + light shots,M45; equal slots replace compact hugging (end-tab translation artifact)
TB-2,Tab bar,Selecting a tab glides the ink pill between stationary slots,matchedGeometryEffect pill; VMotion.tabSelect spring 0.3s bounce 0; icon-only (no labels, M51); nothing reflows,Pass,2026-07-13-m45/glide-frame-0.png glide-frame-1.png,Mid-flight frames prove icons + bar edges stationary; UI test pins slot frame
TB-3,Tab bar,The page itself never animates on switch,RootShell lazy-once ZStack; instant opacity flip; no .animation(value: selection),Pass,TabBarUITests drift test + TabSelectionMotionTests,
TB-4,Tab bar,Reduce Motion calms the pill glide to a fade,withAnimation(reduceMotion ? VMotion.reduced : tabSelect),Pass,TabSelectionMotionTests source guard,
TB-5,Tab bar,The bar hides while typing and for chat input focus,LOCAL keyboards only (keyboardIsLocalUserInfoKey guard); scene-active reset; chat flag cleared on tab change,Fixed,testKeyboardHidesBar + testTabBarIgnoresRemoteKeyboards,Was stuck hidden after OAuth sheet's remote keyboard (device); user re-validation pending
TB-6,Tab bar,Tab items give tactile press feedback,TabPressStyle scale 0.96 0.16s ease-out; rigid haptic on switch,Pass,FloatingTabBar source,
TD-1,Today,I see how many doses remain and a greeting,countLine + block greeting; numericText transition; preferredName used when set,Pass,TD-1-light.png TD-1-dark.png,Greeting-name part lands with UX-SETTINGS-1 fix
TD-2,Today,I see my next dose with a countdown and can log it,FocusCard dose•units + site line + countdown; commit haptic + animated swap,Pass,TD-1-light.png TD-1-dark.png,
TD-3,Today,I can log/skip/undo a dose from its pin,Knob logs (ring+check); context menu Skip/Undo; undo restores,Pass,TD-11-morning.png + DoseLoggerTests,Context menu needs interaction harness
TD-4,Today,Injectables suggest a rotated site and I can override,Pin "-> site" from rotation; Log-at-site override menu; stamped site after,Pass,TD-1-light.png TD-10-morning.png + SiteRotationTests,Override menu needs interaction harness
TD-5,Today,Overdue doses are calm but visible,.overdue -> terracotta time + "Nh late",Pass,TD-1-light.png TD-10-morning.png,
TD-6,Today,I can switch Morning/Midday/Night blocks,CandySegmentedControl filters pins,Pass,TD-1-light.png TD-10-morning.png,
TD-7,Today,I see progress dots and my streak,DotMeter filled/total + streak note; dot bloom on log,Pass,TD-11-morning.png TD-8-light.png,See UX-TODAY-1 (at-rest clipping)
TD-8,Today,I am told when a vial runs low,lowVialLine -> Stack tab,Pass,TD-8-light.png,
TD-9,Today,PRN items live in an As-needed card,asNeededCard; log appends; "logged Nh ago",Pass,TD-11-morning.png,
TD-10,Today,Cycled-off items show as resting,restingRow quiet resting-until copy,Pass,TD-10-morning.png TD-10-light.png,Cycle chip + titrated dose also verified
TD-11,Today,Finishing the day feels rewarding,Focus card dissolves into DayCompleteCard,Untested,,Needs interaction harness or VITA_TODAY_STATE flag
TD-12,Today,A rest day is a calm state,RestDayCard when nothing scheduled,Untested,,Not producible with existing demo flags
TD-13,Today,Empty stack points me to add,emptyStack CTA into Stack/Catalog,Untested,,No onboarded-empty seed flag
TD-14,Today,Tapping a peptide opens its detail,Content tap -> pendingDetailItemID -> router sheet,Pass,TD-14-light.png,Via VITA_OPEN_DETAIL=bpc-157
TD-15,Today,Settings opens from the header,TopBarPill ellipsis -> Settings sheet,Pass,TD-15-light.png,Via VITA_OPEN_SETTINGS=1
ST-1,Stack,I see my compounds at a glance,Row: 2-line name + dose•units + short cadence + cycle chip + low-supply,Pass,ST-1-light.png ST-1-dark.png,
ST-2,Stack,I can add a compound from the catalog,+ -> CatalogBrowseView -> DoseSetupSheet,Pass,ST-1-light.png + CatalogStoreTests.testAddSeedsDoseAndSchedule,Sheet behind tap
ST-3,Stack,I can remove a compound,Context menu Remove; logs relink on re-add,Pass,StackServiceTests.testReAddRelinksDoseHistory,
ST-4,Stack,Cycle status shows Week x/y or Rest,Capitalized quiet CycleChip,Pass,ST-4-cycle-light-retest.png,Week 3/8 + Rest chips verified after store reset
CT-1,Catalog,I can browse and search the full catalog,CatalogBrowseView searchable grouped ~58 compounds,Pass,ON-3-light.png + CatalogStoreTests.testSeedLoadsCatalogAndGoals,Verified via onboarding step render
CT-2,Catalog,Rx-only compounds are labeled,Rx badge from catalog + overrides,Pass,ON-3-light.png + CatalogStoreTests.testRxOverrideAppliesAndToleratesOrphans,
CT-3,Catalog,Adding from catalog opens dose setup,Add knob -> DoseSetupSheet; reused by Onboarding,Pass,CatalogStoreTests.testAddSeedsDoseAndSchedule,
DS-1,Dose sheet,I can set dose by stepping or typing,Range-aware stepper (Units.doseStep: 200-600 -> 50); tap-to-type promotes to large detent + scrolls field above keyboard; commit on blur,Fixed,2026-07-16-m50/dose-keyboard-light.png + UnitsTests doseStep suite,M50; was pinched under keyboard at medium detent
UX-DS-2,UX finding,Typing a dose keeps the field visible above the keyboard,Focus -> detent .large + scrollTo(dose); same recipe in BodyEntrySheet,Fixed,2026-07-16-m50/dose-keyboard-light.png,Device re-validation pending
UX-DI-1,UX finding,Diary scrolls fully to its last card,TimelineView scoped to TrendCard only; contentMargins(.bottom 12) replaces manual padding,Fixed,DiaryUITests.testDiaryScrollsToLabsCard attachment,Was NavigationStack{TimelineView{ScrollView}} breaking the bottom inset
DS-2,Dose sheet,I pick vial size from real catalog sizes,Chips + Custom; water seeded; recon note,Pass,DoseSetupSheet add-flow source,Add flow behind catalog tap
DS-3,Dose sheet,Editing cannot silently reset supply,Fixed size row + hint; commit preserves reconstitutedAt,Pass,DS-1-basic-light.png + StackServiceTests.testCommitVialSetsBUDAndKeepsReconOnEdit,
DS-4,Dose sheet,IU compounds get draw math with caveat,supportsUnitTracking + 3 IU/mg caption,Pass,DoseSetupSheet source + ReconstitutionCalculatorTests IU suite,Demo item is mcg so caption not on-screen
DS-5,Dose sheet,I can set frequency/weekdays/times,Pills + weekday circles + time rows,Pass,DS-6-advanced-light.png,
DS-6,Dose sheet,I can configure cycles,Advanced cycle values + anchor; round-trips through StackService,Pass,DS-6-advanced-light.png + StackServiceTests.testCommitCycleTitrationRoundTrip,Cycle content needs cycle-demo store
DS-7,Dose sheet,I can configure titration steps,Ladder rows; commit round-trips; activeDose(on:) derives,Pass,StackServiceTests + ScheduleServiceTests.testTitrationLadder,
CD-1,Compound detail,I see dose and protocol clearly,doseCard + protocol + ladder + cycle ribbon,Pass,CD-2-vial-light.png CD-1-dark.png,Ladder/ribbon need cycle-demo store
CD-2,Compound detail,I see my vial supply and can act,VialCard dotted KV rows + start-new-vial dialog + calculator,Pass,CD-2-vial-light.png,See UX-CD-2 (bar urgency)
CD-3,Compound detail,I see adherence history,30d grid + summary,Pass,CD-2-vial-light.png + AdherenceTests,See UX-CD-3 (dark dot contrast)
CD-4,Compound detail,I see rotation guidance,rotationCard next site + history,Pass,CD-2-vial-light.png + SiteRotationTests,
CD-5,Compound detail,Blends clarify total dose,isBlend caption,Pass,CompoundDetailView source,No blend in demo stack
RC-1,Calculator,Compute draw from vial+water+dose,Live "draw to X units" result (U-100/50/40) + calm warnings,Pass,RC-1-calc-light.png RC-1-calc-dark.png,
RC-2,Calculator,Flip mg/IU,3 IU/mg toggle both directions,Pass,RC-1-calc-light.png + ReconstitutionCalculatorTests IU round-trip,
RC-3,Calculator,Save result to my item,onSave -> StackService vial write-back,Pass,RC-1-calc-light.png + StackServiceTests,
RC-4,Calculator,Custom vial size and water values behave,Custom entry clamps; result updates live,Pass,RC-1-calc-light.png + ReconstitutionCalculatorTests clamps,
RC-5,Calculator,Impossible draws warn calmly,Over-syringe / tiny-draw warnings show without alarm styling,Pass,ReconstitutionCalculatorTests warning suite,Not visible at valid seed values
VL-1,Vial lifecycle,Logging decrements supply,Derived consumption from stamped logs,Pass,VialEngineTests + CD-2-vial-light.png,
